region,sector,total_final_demand
1.5184e-05,0.11184,306556.5702291897
4.2964e-06,6.7531e-06,6421.322246092901
1.0368e-05,2.0889e-06,17920.430996768093
4.7749e-06,0.0019946,18589.04789520276
4.9371e-06,8.2843e-06,34862.95167051703
1.3318e-05,0.00055212,22654.09821095339
0.00042508,61.848,107864.28747142274
1.6517e-05,0.090826,28975.892192520874
22.98,0.006059,76664.80662593327
0.00036515,11.346,94316.58493034707
4.7889e-06,1.7108e-05,21760.43515307077
2.2242e-05,1.505e-05,45149.09303450861
5.6654e-06,1.6907e-05,14230.574864275852
8.8265e-06,0.23135,31730.71002183028
0.00012839,16.894,22679.876400713038
2.5077e-06,0.0079623,703521.2902230475
2.0863e-05,5.0159,98547.39500664792
3.5461e-05,2.5811e-05,21834.11066122743
1.0479e-05,8.7291e-05,62182.493902810085
8.1093e-06,1.3733e-07,10286.44611750067
3.9133e-06,3.5428e-07,25539.870338877052
3.4385e-06,3.94e-07,5899.698482046822
1.2713e-05,5.6769e-08,-2384.585551932249
1.1775e-05,9.1529e-08,8.153381505211927
3.8687e-05,4.7339e-08,-42.54095125148623
3.8237e-05,1.1326e-07,-116.74199057054618
1.9933e-05,6.9484e-08,72.41506724298526
1.9591e-05,1.2206e-07,-907.6774447749525
1.545e-05,5.4959e-08,66.87985664786393
3.3084e-05,5.2563e-08,214.1429310633019
2.4944e-05,1.1579e-07,11015.623859366115
0.00060837,0.038722,-6194.113998947522
1.0967e-05,4.4659e-08,-2642.2105298886677
0.16159,0.19388,-873.139150838297
4.1277,0.019186,3324.6113894119094
0.00021072,3.2284,81500.98191926036
4.0953e-06,5.4971e-06,63565.2311476097
4.1787e-06,3.7601e-06,44290.93490748993
1.6313e-06,7.5067e-06,288678.55060449365
1.5603e-05,0.00030894,83351.12967964585
0.0092221,254.31,298680.0552549535
0.56499,6.4189,138592.66588496152
0.0010725,7.5525,67023.59680860472
8.0736e-05,0.11445,35565.032629090085
0.054334,0.44332,128151.07032940033
184.12,0.49497,517699.53175584547
0.00010669,0.022669,114956.20188770299
0.00035539,6.7351,62034.08343523693
0.018593,1.4147,60224.91718245181
8.3624,0.010109,329520.0896137751
4.5933,0.045635,112081.40087599536
17.362,0.036386,1500542.005566219
0.00038492,2.4795e-05,127717.51647478146
0.0076624,0.0652,10658.638384589629
0.0057051,8.9597e-05,10802.26230643848
0.00050749,3.408e-05,60559.050164772576
0.00022897,8.4872e-08,24363.837956853047
0.00020033,0.00012222,66431.83344421325
6.9886e-05,0.00055674,14832.147127687194
8.5873e-06,1.4508e-07,2609.938150696485
3.4968e-05,1.7065e-07,10208.277384085153
0.0041269,0.050426,9846.260694656568
0.00024645,0.0024432,14728.779258940438
0.0032689,0.0022311,143964.0608616198
4.7062e-05,1.2826e-06,32486.535632426578
0.0015378,0.00017532,78228.59149240155
0.0015367,0.00043158,26081.339515427957
0.0018125,0.016446,6022.5603923622275
0.059116,0.001243,33115.84858052155
0.032117,8.1166,15492.016437929098
0.0071176,2.445,57061.66798862606
60.081,0.093419,748.0555752894201
0.065717,0.00010218,4793.9654432034295
1.6551e-05,2.2023e-08,2091.5345399711855
0.9463,0.0014714,588.4782516578025
0.9833,0.0015289,1266.8496921607532
1.0691e-05,1.274e-08,723.251825506657
2.1379e-05,2.6624e-08,676.7061436864999
0.0070867,1.1009e-05,4375.7515129362055
0.91415,0.0011189,220293.40129716767
0.021168,3.2011e-05,121167.19257869237
0.03865,0.0024658,144778.42884838034
3.9841,0.3395,43672.32398310031
2.5414e-05,1.4928e-06,41917.42761903357
0.53358,1.8625e-06,600494.4939605907
0.00092161,0.00047318,74159.83719353976
0.0025596,1.6645e-05,341839.97314668744
3.4305e-05,3.087e-05,63707.26123362227
7.7817e-05,3.5407e-05,88059.49066527514
8.3051e-07,2.6302e-05,14085.007990575965
2.2945e-06,2.1553e-06,48425.581192608355
0.017445,0.0019008,26022.10341997498
1.264e-05,9.9535e-06,1233431.6937954212
1.3573e-05,1.1194e-05,1653215.47093612
2.1262e-06,2.6548e-05,997726.4480988587
1.074e-05,4.4737e-05,385602.23089499184
1.185e-05,2.9857e-05,155358.45399613303
9.2253e-06,5.9364e-05,77745.90281435786
2.1349e-06,3.3305e-05,83713.73136825192
4.6745e-06,6.611e-05,154606.33470069012
7.5033e-07,4.2687e-05,168841.40725193746
6.4169e-05,1.4899e-05,3396.2552677224953
1.4323e-06,3.1295e-05,462909.2651883932
9.5512e-07,1.2006e-05,511771.5799493736
2.9076e-05,1.0979e-05,342974.47970053984
3.0776e-06,4.7585e-06,47039.9124685983
2.6807e-06,1.0396e-05,409037.7010162261
0.00012614,6.7499e-05,3831639.005719226
3.1606e-07,1.4737e-05,42234.13210368812
8.498e-07,1.2595e-06,63536.41258059256
9.5819e-07,7.4289e-05,1285284.406497229
1.0706e-06,4.892e-06,2993001.213609541
1.2746e-06,4.8339e-07,1982939.4923040946
6.3312e-07,4.4331e-06,424429.2622425913
5.4916e-07,0.00049359,476677.11748982745
2.1037e-05,1.0281e-07,18032.80458859099
7.4504e-06,3.5274e-07,75927.10976721217
1.3109e-05,5.1974e-06,36981.371436860136
0.0052999,231.78,81545.49077826335
0.00099998,3.9427e-06,1166768.7072304296
0.11351,0.28892,3842966.224629319
4.5923e-06,4.1572e-06,83902.52328181744
1.8492e-05,2.6228e-06,56128.27495730021
2.1967e-05,4.5047e-07,36627.521526763274
7.784e-06,5.9758e-06,265352.1067224914
3.6801e-06,0.015513,62531.440987502545
4.274e-06,0.011833,1788614.7320797106
3.4724e-05,1.2895,1620271.7416630487
0.024184,75.513,231611.4574535532
2.679e-05,0.043687,279292.27324538224
3.6561e-06,4.4081e-06,112900.72556097245
4.071e-06,3.6903e-07,3850.873956578364
7.2353e-06,1.0357e-06,16698.05818000844
9.9779e-05,4.4437,827079.1632069146
8.6161e-06,0.018363,26149.051206199412
0.31345,5.9708e-05,12773040.460360484
0.0088621,2.2605,5495786.165123175
7.4688e-06,0.427,1359875.5475437846
1.3671e-05,1.1404e-07,-15719.432845918252
7.976e-06,8.8522e-08,5028.572457532916
1.071e-05,2.1113e-07,13289.303887991837
1.7655e-05,1.7764e-07,32797.401790380165
1.4701e-05,2.265e-08,-11119.096636763441
8.1333e-05,5.2872e-08,-3846.2839472049886
0.0001011,1.7097e-07,91.13820743475195
4.7665e-05,3.599e-08,-111.7721251631239
0.00096449,1.8002e-06,18646.60710840788
6.9533e-05,2.4521e-08,32740.417833433083
3.2559e-05,9.6138e-07,1620.018808498173
